Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Tissue_type,Sample_Name,Vial_num,Notes,og_order,filt_out
2024,Warm,4,Warm,1,G,7,T,Warm4_Warm1_G7_T,NA,"2/28/25 SKM this one was labelled 119 but thought that was an error based on the order and the appearance of the contents of the vial, DISCOUNT",62,Y
2024,Warm,5,Warm,1,G,9,S,Warm5_Warm1_G9_S,119,2/28/25 SKM we changed the 119 label to this one from Warm4_Warm1_G7_T because of the contents of the vial looking like shell and the order of the weigh boats,63,
2024,Warm,5,Warm,1,G,9,T,Warm5_Warm1_G9_T,121,2/28/25 This is one of the samples that the vial number doesn't match up to the weigh boat/ there were four weigh boats and 3 vials DISCOUNT,64,Y
2024,Both,5,Both,2,O,21,S,Both5_Both2_O21_S,92,2/12 SC had a dead shell attached to the top. Was once a double but no tissue found when dissecting.,65,
2024,Both,5,Both,2,O,21,T,Both5_Both2_O21_T,95,2/12 SC had a dead shell attached to the top. Was once a double but no tissue found when dissecting.,66,
2024,Both,6,Both,2,O,24,S,Both6_Both2_O24_S,100,,67,
2024,Both,6,Both,2,O,24,T,Both6_Both2_O24_T,104,,68,
2024,Control,1,Both,2,W,14,S,Control1_Both2_W14_S,97,,69,
2024,Control,1,Both,2,W,14,T,Control1_Both2_W14_T,NA,"2/14 SC Basically no tissue, might've been dead before frozen",70,Y
2024,Control,3,Both,2,W,18,S,Control3_Both2_W18_S,86,,71,
2024,Control,3,Both,2,W,18,T,Control3_Both2_W18_T,89,"2/14 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/19 SC rehomogenized and all set now.",72,
2024,Hypoxic,4,Both,2,B,20,S,Hypoxic4_Both2_B20_S,96,,73,
2024,Hypoxic,4,Both,2,B,20,T,Hypoxic4_Both2_B20_T,105,,74,
2024,Hypoxic,6,Both,2,B,24,S,Hypoxic6_Both2_B24_S,88,,75,
2024,Hypoxic,6,Both,2,B,24,T,Hypoxic6_Both2_B24_T,91,"2/14 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/19 SC rehomogenized and all set now.",76,
2024,Warm,3,Both,2,G,18,S,Warm3_Both2_G18_S,87,,77,
2024,Warm,3,Both,2,G,18,T,Warm3_Both2_G18_T,90,"2/14 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/19 SC rehomogenized and all set now.",78,
2024,Warm,6,Both,2,G,23,S,Warm6_Both2_G23_S,98,,79,
2024,Warm,6,Both,2,G,23,T,Warm6_Both2_G23_T,103,,80,
2024,Both,4,Control,2,O,19,S,Both4_Control2_O19_S,207,,81,
2024,Both,4,Control,2,O,19,T,Both4_Control2_O19_T,210,4/4 SC ended with this one today,82,
2024,Both,5,Control,2,O,21,S,Both5_Control2_O21_S,235,"5/9/25 SC dead oyster, had no tissue",83,
2024,Both,5,Control,2,O,21,T,Both5_Control2_O21_T,NA,"5/9/25 SC dead oyster, had no tissue",84,Y
2024,Control,1,Control,2,W,14,S,Control1_Control2_W14_S,233,5/12/2025 SC started with this one today,85,
2024,Control,1,Control,2,W,14,T,Control1_Control2_W14_T,236,,86,
2024,Control,2,Control,2,W,15,S,Control2_Control2_W15_S,206,,87,
2024,Control,2,Control,2,W,15,T,Control2_Control2_W15_T,209,,88,
2024,Hypoxic,3,Control,2,B,18,S,Hypoxic3_Control2_B18_S,215,,89,
2024,Hypoxic,3,Control,2,B,18,T,Hypoxic3_Control2_B18_T,212,,90,
2024,Hypoxic,6,Control,2,B,23,S,Hypoxic6_Control2_B23_S,214,,91,
2024,Hypoxic,6,Control,2,B,23,T,Hypoxic6_Control2_B23_T,211,4/9 SC started with this one today,92,
2024,Warm,3,Control,2,G,18,S,Warm3_Control2_G18_S,234,,93,
2024,Warm,3,Control,2,G,18,T,Warm3_Control2_G18_T,237,,94,
2024,Warm,4,Control,2,G,20,S,Warm4_Control2_G20_S,216,4/9 SC ended with this one today,95,
2024,Warm,4,Control,2,G,20,T,Warm4_Control2_G20_T,213,,96,
2024,Both,3,Hypoxic,2,O,18,S,Both3_Hypoxic2_O18_S,,,97,
2024,Both,3,Hypoxic,2,O,18,T,Both3_Hypoxic2_O18_T,,,98,
2024,Both,6,Hypoxic,2,O,24,S,Both6_Hypoxic2_O24_S,,,99,
2024,Both,6,Hypoxic,2,O,24,T,Both6_Hypoxic2_O24_T,,,100,
2024,Control,2,Hypoxic,2,W,16,S,Control2_Hypoxic2_W16_S,,,101,
2024,Control,2,Hypoxic,2,W,16,T,Control2_Hypoxic2_W16_T,,,102,
2024,Control,6,Hypoxic,2,W,23,S,Control6_Hypoxic2_W23_S,,,103,
2024,Control,6,Hypoxic,2,W,23,T,Control6_Hypoxic2_W23_T,,,104,
2024,Hypoxic,1,Hypoxic,2,B,13,S,Hypoxic1_Hypoxic2_B13_S,,,105,
2024,Hypoxic,1,Hypoxic,2,B,13,T,Hypoxic1_Hypoxic2_B13_T,,,106,
2024,Hypoxic,5,Hypoxic,2,B,22,S,Hypoxic5_Hypoxic2_B22_S,,,107,
2024,Hypoxic,5,Hypoxic,2,B,22,T,Hypoxic5_Hypoxic2_B22_T,,,108,
2024,Warm,1,Hypoxic,2,G,14,S,Warm1_Hypoxic2_G14_S,,,109,
2024,Warm,1,Hypoxic,2,G,14,T,Warm1_Hypoxic2_G14_T,,,110,
2024,Warm,5,Hypoxic,2,G,22,S,Warm5_Hypoxic2_G22_S,,,111,
2024,Warm,5,Hypoxic,2,G,22,T,Warm5_Hypoxic2_G22_T,,,112,
2024,Both,5,Warm,2,O,22,S,Both5_Warm2_O22_S,189,,113,
2024,Both,5,Warm,2,O,22,T,Both5_Warm2_O22_T,192,SC 4/2 started with this one today,114,
2024,Both,6,Warm,2,O,24,S,Both6_Warm2_O24_S,196,,115,
2024,Both,6,Warm,2,O,24,T,Both6_Warm2_O24_T,198,,116,
2024,Control,3,Warm,2,W,17,S,Control3_Warm2_W17_S,200,,117,
2024,Control,3,Warm,2,W,17,T,Control3_Warm2_W17_T,203,,118,
2024,Control,6,Warm,2,W,24,S,Control6_Warm2_W24_S,199,,119,
2024,Control,6,Warm,2,W,24,T,Control6_Warm2_W24_T,202,SC 4/4 started with this one today,120,
2024,Hypoxic,1,Warm,2,B,13,S,Hypoxic1_Warm2_B13_S,201,SC 4/2 Ended with this one today,121,
2024,Hypoxic,1,Warm,2,B,13,T,Hypoxic1_Warm2_B13_T,204,,122,
2024,Hypoxic,4,Warm,2,B,19,S,Hypoxic4_Warm2_B19_S,205,,123,
2024,Hypoxic,4,Warm,2,B,19,T,Hypoxic4_Warm2_B19_T,208,,124,
2024,Warm,2,Warm,2,G,15,S,Warm2_Warm2_G15_S,191,3/31 SKM ended with this one today,125,
2024,Warm,2,Warm,2,G,15,T,Warm2_Warm2_G15_T,194,,126,
