Sample_Name,Phase_1_treat,Phase_1_rep_R,Phase_1_DO,Phase_1_temp,Linear corr d15N,wt_percent_N,Linear corr d13C,wt_percent_C
2024_Warm01_Null_G6_S,Warm,Warm01,Normoxic,Warm,10,0.3,-7.4,16.3
2024_Warm01_Null_G5_S,Warm,Warm01,Normoxic,Warm,9.9,0.3,-6.6,15.8
2024_Hyp01_Null_B1_S,Hyp,Hyp01,Hypoxic,Ambient,10.1,0.3,-7.1,16.1
2024_Both03_Null_O21_S,Both,Both03,Hypoxic,Warm,10.3,0.3,-9.8,18.4
2024_Cont04_Null_W31_S,Cont,Cont04,Normoxic,Ambient,10.5,0.3,-5.9,15.2
2024_Cont03_Null_W19_S,Cont,Cont03,Normoxic,Ambient,10.5,0.3,-8.7,17.8
2024_Warm02_Null_G13_S,Warm,Warm02,Normoxic,Warm,8.8,0.3,-7.7,16.8
2024_Both02_Null_O14_S_A,Both,Both02,Hypoxic,Warm,11.8,0.3,-8,16.8
2024_Warm04_Null_G26_S,Warm,Warm04,Normoxic,Warm,10.9,0.4,-6.5,15.7
2024_Cont04_Null_W30_S,Cont,Cont04,Normoxic,Ambient,10.5,0.3,-6,15.2
2024_Cont05_Null_W34_S,Cont,Cont05,Normoxic,Ambient,10.2,0.3,-7.5,16.3
2024_Both06_Null_O46_S,Both,Both06,Hypoxic,Warm,9.8,0.2,-7.9,16.7
2024_Cont02_Null_W10_S,Cont,Cont02,Normoxic,Ambient,9.9,0.3,-7,16.1
2024_Hyp01_Null_B3_S_A,Hyp,Hyp01,Hypoxic,Ambient,10.1,0.2,-8.3,17
2024_Cont05_Null_W37_S,Cont,Cont05,Normoxic,Ambient,10.6,0.3,-6.2,15.6
2024_Hyp04_Null_B30_S,Hyp,Hyp04,Hypoxic,Ambient,10.1,0.3,-8.8,17.6
2024_Warm03_Null_G22_S,Warm,Warm03,Normoxic,Warm,10.2,0.3,-7,16
2024_Warm02_Null_G14_S_A,Warm,Warm02,Normoxic,Warm,9.9,0.3,-6.6,15.7
2024_Warm04_Null_G30_S,Warm,Warm04,Normoxic,Warm,10.5,0.2,-8.3,17.2
2024_Both02_Null_O14_S_B,Both,Both02,Hypoxic,Warm,11.8,0.3,-7.3,16.2
2024_Both02_Null_O14_S_C,Both,Both02,Hypoxic,Warm,11.1,0.3,-6.7,15.6
2024_Hyp01_Null_B3_S_B,Hyp,Hyp01,Hypoxic,Ambient,10.1,0.2,-8.2,16.9
2024_Hyp01_Null_B3_S_C,Hyp,Hyp01,Hypoxic,Ambient,10,0.2,-8.2,16.9
2024_Warm02_Null_G14_S_B,Warm,Warm02,Normoxic,Warm,9.9,0.3,-6.7,15.7
2024_Warm02_Null_G14_S_C,Warm,Warm02,Normoxic,Warm,9.6,0.3,-6.5,15.7
