og_order,Sample_name,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num
73,2025_Cont06_Both01_W11,2025,Cont,06,Both,01,W,11
74,2025_Warm01_Both01_G2,2025,Warm,01,Both,01,G,2
75,2025_Hyp02_Both01_B4,2025,Hyp,02,Both,01,B,4
76,2025_Both03_Both01_O6,2025,Both,03,Both,01,O,6
77,2025_Cont03_Both02_W17,2025,Cont,03,Both,02,W,17
78,2025_Warm03_Both02_G17,2025,Warm,03,Both,02,G,17
79,2025_Hyp04_Both02_B19,2025,Hyp,04,Both,02,B,19
80,2025_Both05_Both02_O22,2025,Both,05,Both,02,O,22
81,2025_Cont05_Both03_W33,2025,Cont,05,Both,03,W,33
82,2025_Warm04_Both03_G31,2025,Warm,04,Both,03,G,31
83,2025_Hyp03_Both03_B29,2025,Hyp,03,Both,03,B,29
84,2025_Both02_Both03_O28,2025,Both,02,Both,03,O,28
85,2025_Cont04_Both04_W43,2025,Cont,04,Both,04,W,43
86,2025_Warm02_Both04_G39,2025,Warm,02,Both,04,G,39
87,2025_Hyp06_Both04_B47,2025,Hyp,06,Both,04,B,47
88,2025_Both04_Both04_O44,2025,Both,04,Both,04,O,44
89,2025_Cont02_Both05_W51,2025,Cont,02,Both,05,W,51
90,2025_Warm05_Both05_G58,2025,Warm,05,Both,05,G,58
91,2025_Hyp01_Both05_B50,2025,Hyp,01,Both,05,B,50
92,2025_Both01_Both05_O49,2025,Both,01,Both,05,O,49
93,2025_Cont02_Both06_W63,2025,Cont,02,Both,06,W,63
94,2025_Warm06_Both06_G71,2025,Warm,06,Both,06,G,71
95,2025_Hyp04_Both06_B67,2025,Hyp,04,Both,06,B,67
96,2025_Both06_Both06_O72,2025,Both,06,Both,06,O,72
