Sample_Name_Nutrients,Linear corr d15N,wt %N,N_Notes,Linear corr d13C,wt %C,C_Notes,N_Exclude,
Warm06 B70 T,13.2,6.8,,-23.5,46.0,,,
Warm06 B62 T,13.3,8.8,,-22.2,38.1,,,
Warm06 G65 T,13.2,8.8,,-21.9,38.9,,,
Warm06 G67 T,12.8,6.3,small peak - error on δ15N will be higher,-21.9,38.5,,,
Warm06 W65 T,12.6,6.4,small peak - error on δ15N will be higher,-23.3,43.1,,,
Warm06 W69 T,13.2,7.6,,-23.3,45.3,,,
Hyp01 G1 T,13.3,7.8,,-24.0,43.5,,,
Hyp01 W8 T,13.0,8.3,,-24.0,50.1,,,
Hyp01 O5 T,12.4,7.6,,-22.9,39.8,,,
Hyp01 W9 T,12.1,5.9,small peak - error on δ15N will be higher,-24.2,47.7,,,
Hyp01 B5 T,13.0,6.8,,-24.4,47.5,,,
Hyp01 O12 T,12.9,6.6,,-25.0,57.0,,,
Hyp01 B8 T,12.2,5.3,small peak - error on δ15N will be higher,-25.2,52.9,,,
Hyp01 G5 T,12.7,5.3,small peak - error on δ15N will be higher,-24.9,51.8,,,
Hyp02 W17 T,12.3,8.0,,-23.5,44.0,,,
Hyp02 B14 T,12.8,8.8,,-24.0,49.3,,,
Hyp02 G19 T,12.7,7.6,,-23.0,39.6,,,
Hyp02 G21 T,12.6,9.2,,-23.2,42.8,,,
Hyp02 O19 T,13.0,3.9,small peak - error on δ15N will be higher,-25.8,64.5,,,
Hyp02 B23 T,13.0,7.7,,-23.8,40.3,,,
Hyp02 O13 T,12.7,8.2,,-23.9,46.0,,,
Hyp02 W19 T,12.7,5.1,small peak - error on δ15N will be higher,-25.7,59.2,,,
Hyp03 G35 T,12.7,5.8,small peak - error on δ15N will be higher,-26.3,54.5,,,
Hyp03 W27 T,13.2,9.2,,-23.7,45.3,,,
Hyp03 O28 T,12.6,7.9,,-24.2,43.9,,,
Hyp03 O25 T,12.7,5.0,small peak - error on δ15N will be higher,-26.6,59.7,,,
Hyp03 B29 T,12.3,6.6,small peak - error on δ15N will be higher,-23.1,40.7,,,
Hyp03 B25 T,13.6,6.5,,-26.1,57.2,,,
Hyp03 W25 T,12.6,9.4,,-23.1,40.4,,,
Hyp03 G27 T,12.6,7.8,,-23.4,41.4,,,
Hyp04 G47 T,12.2,5.4,small peak - error on δ15N will be higher,-26.3,57.4,,,
Hyp04 W41 T,12.3,4.5,small peak - error on δ15N will be higher,-27.2,68.0,,,
Hyp04 W43 T,12.2,6.0,small peak - error on δ15N will be higher,-25.5,50.4,,,
Hyp04 O43 T,12.2,3.8,small peak - error on δ15N will be higher,-27.0,70.7,,,
Hyp04 B45 T,12.5,8.3,,-24.2,48.9,,,
Hyp04 G39 T,14.5,3.9,small peak - error on δ15N will be higher,-27.1,67.9,,,
Hyp04 O47 T,13.0,3.0,small peak - error on δ15N will be higher,-27.8,72.4,,,
Hyp04 B39 T,12.3,6.5,,-24.8,47.3,,,
Hyp05 O57 T,12.1,7.5,,-20.5,36.2,,,
Hyp05 O53 T,12.6,9.0,,-21.3,39.2,,,
Hyp05 B55 T,12.9,10.5,,-21.8,43.8,,,
Hyp05 W51 T,12.3,8.0,,-21.1,37.8,,,
Hyp05 B57 T,12.7,9.4,,-21.9,42.2,,,
Hyp05 G54 T,13.0,7.5,,-24.4,52.6,,,
Hyp05 G58 T,12.0,5.9,small peak - error on δ15N will be higher,-22.5,39.3,,,
Hyp05 W49 T,12.6,8.2,,-23.1,45.2,,,
Hyp06 W71 T,12.9,6.8,small peak - error on δ15N will be higher,-24.9,49.3,,,
Hyp06 B62 T,13.5,9.4,,-23.2,43.0,,,
Hyp06 G67 T,12.9,2.8,small peak - error on δ15N will be higher,-27.4,72.9,,,
Hyp06 O65 T,12.5,6.0,small peak - error on δ15N will be higher,-24.9,51.2,,,
Hyp06 O63 T,12.4,7.4,,-24.7,50.1,,,
Hyp06 B72 T,13.1,3.4,small peak - error on δ15N will be higher,-27.4,87.5,,,
Hyp06 W69 T,12.2,8.0,,-23.9,45.4,,,
Hyp06 G70 T,12.7,7.5,,-23.7,44.4,,,
Both01 B11 T,12.3,4.7,small peak - error on δ15N will be higher,-26.1,57.3,,,
Both01 G12 T,11.9,5.4,small peak - error on δ15N will be higher,-25.9,59.2,,,
Both01 W9 T,12.4,6.6,small peak - error on δ15N will be higher,-25.3,52.9,,,
Both01 W5 T,11.6,6.7,,-23.6,39.1,,,
Both01 B1 T,12.8,5.9,,-25.7,59.4,,,
Both01 G2 T,13.5,6.6,,-25.3,56.6,,,
Both01 O9 T,12.5,7.0,small peak - error on δ15N will be higher,-25.3,54.6,,,
Both01 O11 T,12.5,8.0,,-23.4,42.0,,,
Both02 O15 T,12.7,8.3,,-24.4,49.6,,,
Both02 W13 T,12.7,9.3,,-23.9,47.3,,,
Both02 W20 T,12.8,4.1,small peak - error on δ15N will be higher,-27.1,69.1,,,
Both02 G19 T,12.8,7.0,,-25.6,55.9,,,
Both02 B17 T,12.2,6.7,,-23.7,36.9,,,
Both02 B15 T,12.6,8.0,,-23.8,44.0,,,
Both02 G13 T,12.9,6.9,small peak - error on δ15N will be higher,-25.8,54.2,,,
Both03 W27 T,12.3,6.4,small peak - error on δ15N will be higher,-25.2,51.0,,,
Both03 O29 T,11.9,5.5,small peak - error on δ15N will be higher,-25.5,45.0,,,
Both03 B27 T,13.2,6.3,small peak - error on δ15N will be higher,-25.6,50.5,,,
Both03 O33 T,13.5,3.2,small peak - error on δ15N will be higher,-27.8,72.5,,,
Both03 B31 T,12.6,6.3,small peak - error on δ15N will be higher,-26.3,60.1,,,
Both03 G31 T,12.4,6.5,small peak - error on δ15N will be higher,-24.2,44.7,,,
Both03 G33 T,12.2,5.3,small peak - error on δ15N will be higher,-26.1,47.9,,,
Both03 W35 T,12.4,6.4,small peak - error on δ15N will be higher,-25.6,46.2,,,
Both04 B37 T,12.3,9.0,,-23.4,43.4,,,
Both04 G41 T,12.1,7.1,small peak - error on δ15N will be higher,-24.9,50.9,,,
Both04 W39 T,12.8,8.2,,-23.3,40.0,,,
Both04 W41 T,13.0,7.5,,-22.9,33.6,,,
Both04 O43 T,12.6,8.0,,-23.2,40.3,,,
Both04 O39 T,12.5,3.7,small peak - error on δ15N will be higher,-27.5,68.5,,,
Both04 G43 T,12.5,6.5,,-21.0,31.6,,,
Both04 B44 T,13.5,4.4,small peak - error on δ15N will be higher,-27.4,68.1,,,
Both05 B57 T,12.6,8.4,,-25.3,61.2,,,
Both05 G59 T,12.9,7.4,,-23.4,43.7,,,
Both05 O53 T,12.6,2.6,small peak - error on δ15N will be higher,-28.1,76.7,,,
Both05 O55 T,12.4,6.9,,-25.4,55.6,,,
