Sample_Name_Nutrients,Phase_2_treat,Phase_2_rep,Phase_2_rep_R,Tissue_type,Tag,Tag_color,Tag_num,Linear corr d15N,wt_percent_n,N_Notes,Linear corr d13C,wt_percent_c,C_Notes,N_Exclude,
Warm01 B3 S,Warm,01,Warm01,S,B3,B,3,12.4,0.2,small peak - error on δ15N will be higher,-9.6,17.8,,,
Warm01 G11 S,Warm,01,Warm01,S,G11,G,11,11.9,0.1,small peak - error on δ15N will be higher,-7.2,15.7,,,
Warm01 O11 S,Warm,01,Warm01,S,O11,O,11,12.3,0.2,,-8.2,16.2,,,
Warm01 W11 S,Warm,01,Warm01,S,W11,W,11,12.7,0.2,,-6.9,15.4,,,
Warm02 W19 S,Warm,02,Warm02,S,W19,W,19,12.4,0.1,small peak - error on δ15N will be higher,-9,17.1,,,
Warm02 W23 S,Warm,02,Warm02,S,W23,W,23,12.3,0.2,,-7.6,15.9,,,
Warm02 O13 S,Warm,02,Warm02,S,O13,O,13,11,0.2,small peak - error on δ15N will be higher,-10,18.4,,,
Warm02 G17 S,Warm,02,Warm02,S,G17,G,17,12.2,0.2,small peak - error on δ15N will be higher,-7,15.5,,,
Warm02 O15 S,Warm,02,Warm02,S,O15,O,15,11.2,0.1,small peak - error on δ15N will be higher,-10.1,18.1,,,
Warm02 B17 S,Warm,02,Warm02,S,B17,B,17,14.1,0.2,,-9.5,17.4,,,
Warm02 B18 S,Warm,02,Warm02,S,B18,B,18,12.5,0.1,small peak - error on δ15N will be higher,-10.8,19,,,
Warm03 G27 S,Warm,03,Warm03,S,G27,G,27,12,0.1,small peak - error on δ15N will be higher,-11.2,19.1,,,
Warm03 B27 S,Warm,03,Warm03,S,B27,B,27,12.3,0.1,small peak - error on δ15N will be higher,-9.5,17.4,,,
Warm03 O30 S,Warm,03,Warm03,S,O30,O,30,11.3,0.2,small peak - error on δ15N will be higher,-8.1,16.2,,,
Warm03 B31 S,Warm,03,Warm03,S,B31,B,31,11.4,0.2,,-9.4,17.5,,,
Warm03 W26 S,Warm,03,Warm03,S,W26,W,26,12.6,0.1,small peak - error on δ15N will be higher,-10.4,18.3,,,
Warm03 G34 S,Warm,03,Warm03,S,G34,G,34,11.8,0.1,small peak - error on δ15N will be higher,-9.7,17.4,,,
Warm03 O32 S,Warm,03,Warm03,S,O32,O,32,12.6,0.1,small peak - error on δ15N will be higher,-8.7,16.6,,,
Warm04 G40 S,Warm,04,Warm04,S,G40,G,40,11.6,0.1,small peak - error on δ15N will be higher,-7.4,15.8,,,
Warm04 O43 S,Warm,04,Warm04,S,O43,O,43,12.3,0.2,small peak - error on δ15N will be higher,-10.7,18.3,,,
Warm04 B41 S,Warm,04,Warm04,S,B41,B,41,12.2,0.2,,-9.9,17.7,,,
Hyp01 O12 S,Hyp,01,Hyp01,S,O12,O,12,17.7,0.1,small peak - error on δ15N will be higher,-7.3,15.6,,,
Hyp01 B8 S,Hyp,01,Hyp01,S,B8,B,8,13.4,0.2,,-8.1,16.3,,,
Hyp01 G5 S,Hyp,01,Hyp01,S,G5,G,5,12.1,0.2,,-8,16.1,,,
Hyp02 W17 S,Hyp,02,Hyp02,S,W17,W,17,12.9,0.2,,-8.9,16.6,,,
Hyp02 B14 S,Hyp,02,Hyp02,S,B14,B,14,13,0.2,,-7.8,15.9,,,
Hyp02 G19 S,Hyp,02,Hyp02,S,G19,G,19,12.8,0.2,small peak - error on δ15N will be higher,-9.3,17.2,,,
Hyp02 G21 S,Hyp,02,Hyp02,S,G21,G,21,12,0.2,small peak - error on δ15N will be higher,-9.2,17.4,,,
Hyp02 O19 S,Hyp,02,Hyp02,S,O19,O,19,12.8,0.2,,-9.2,16.9,,,
Hyp02 B23 S,Hyp,02,Hyp02,S,B23,B,23,11.8,0.2,small peak - error on δ15N will be higher,-8.4,16.5,,,
Hyp02 O13 S,Hyp,02,Hyp02,S,O13,O,13,11.7,0.1,small peak - error on δ15N will be higher,-8.3,16.5,,,
Hyp02 W19 S,Hyp,02,Hyp02,S,W19,W,19,10.5,0.1,small peak - error on δ15N will be higher,-7.5,15.8,,,
Hyp03 G35 S,Hyp,03,Hyp03,S,G35,G,35,12.3,0.2,small peak - error on δ15N will be higher,-9.8,17.6,,,
Hyp03 W27 S,Hyp,03,Hyp03,S,W27,W,27,17.4,0.2,small peak - error on δ15N will be higher,-9.2,17,,,
Hyp03 O28 S,Hyp,03,Hyp03,S,O28,O,28,11.7,0.2,small peak - error on δ15N will be higher,-9.1,17.3,,,
Hyp03 O25 S,Hyp,03,Hyp03,S,O25,O,25,11.8,0.1,small peak - error on δ15N will be higher,-8.1,16.2,,,
Hyp03 B29 S,Hyp,03,Hyp03,S,B29,B,29,11.2,0.2,small peak - error on δ15N will be higher,-8.2,16.8,,,
Hyp03 B25 S,Hyp,03,Hyp03,S,B25,B,25,12.1,0.2,,-8.7,16.2,,,
Hyp03 W25 S,Hyp,03,Hyp03,S,W25,W,25,12.1,0.1,small peak - error on δ15N will be higher,-7.6,16,,,
Hyp03 G27 S,Hyp,03,Hyp03,S,G27,G,27,11.7,0.1,small peak - error on δ15N will be higher,-8.7,16.6,,,
Hyp04 G47 S,Hyp,04,Hyp04,S,G47,G,47,11.1,0.1,small peak - error on δ15N will be higher,-10.5,18.2,,,
Hyp04 W41 S,Hyp,04,Hyp04,S,W41,W,41,10.6,0.1,small peak - error on δ15N will be higher,-8,16.3,,,
Hyp04 W43 S,Hyp,04,Hyp04,S,W43,W,43,11.6,0.2,,-8.5,16.4,,,
Hyp04 O43 S,Hyp,04,Hyp04,S,O43,O,43,12.2,0.1,small peak - error on δ15N will be higher,-7.1,15.5,,,
Hyp04 B45 S,Hyp,04,Hyp04,S,B45,B,45,12.8,0.2,,-9.1,17.3,,,
Hyp04 G39 S,Hyp,04,Hyp04,S,G39,G,39,12.9,0.2,,-6.5,15,,,
Hyp04 O47 S,Hyp,04,Hyp04,S,O47,O,47,12.5,0.1,small peak - error on δ15N will be higher,-6.5,15.2,,,
Hyp04 B39 S,Hyp,04,Hyp04,S,B39,B,39,11.6,0.2,small peak - error on δ15N will be higher,-8.6,16.6,,,
Hyp05 O57 S,Hyp,05,Hyp05,S,O57,O,57,11.7,0.2,,-8.9,16.8,,,
Hyp05 O53 S,Hyp,05,Hyp05,S,O53,O,53,11.7,0.2,,-7.6,15.9,,,
Hyp05 B55 S,Hyp,05,Hyp05,S,B55,B,55,12.1,0.2,,-8.2,16.3,,,
Hyp05 W51 S,Hyp,05,Hyp05,S,W51,W,51,11.6,0.2,,-7.4,15.8,,,
Hyp05 B57 S,Hyp,05,Hyp05,S,B57,B,57,12.2,0.2,,-10.3,17.5,,,
Hyp05 G54 S,Hyp,05,Hyp05,S,G54,G,54,11.9,0.2,,-6.1,14.9,,,
Hyp05 G58 S,Hyp,05,Hyp05,S,G58,G,58,11.6,0.1,small peak - error on δ15N will be higher,-9.4,17.1,,,
Hyp05 W49 S,Hyp,05,Hyp05,S,W49,W,49,11.6,0.1,small peak - error on δ15N will be higher,-8,16.3,,,
Hyp06 W71 S,Hyp,06,Hyp06,S,W71,W,71,10,0.2,,-7,15.4,,,
Hyp06 B62 S,Hyp,06,Hyp06,S,B62,B,62,13.9,0.1,small peak - error on δ15N will be higher,-6,14.7,,,
Hyp06 G67 S,Hyp,06,Hyp06,S,G67,G,67,12.8,0.1,small peak - error on δ15N will be higher,-8.8,16.5,,,
Hyp06 O65 S,Hyp,06,Hyp06,S,O65,O,65,11,0.2,,-8.7,16.5,,,
Hyp06 O63 S,Hyp,06,Hyp06,S,O63,O,63,11.1,0.2,,-10.1,17.7,,,
Hyp06 B72 S,Hyp,06,Hyp06,S,B72,B,72,10.2,0.2,small peak - error on δ15N will be higher,-6.6,14.9,,,
Hyp06 W69 S,Hyp,06,Hyp06,S,W69,W,69,10.7,0.1,small peak - error on δ15N will be higher,-7.7,15.6,,,
Hyp06 G70 S,Hyp,06,Hyp06,S,G70,G,70,12.1,0.2,,-7.1,15.4,,,
Both01 B11 S,Both,01,Both01,S,B11,B,11,11.5,0.2,,-7.2,15.5,,,
Both01 G12 S,Both,01,Both01,S,G12,G,12,11.3,0.1,small peak - error on δ15N will be higher,-6.8,15.2,,,
Both01 W9 S,Both,01,Both01,S,W9,W,9,11.6,0.2,,-7.3,15.4,,,
Both01 W5 S,Both,01,Both01,S,W5,W,5,11.6,0.2,small peak - error on δ15N will be higher,-7.2,15.4,,,
Both01 B1 S,Both,01,Both01,S,B1,B,1,12.1,0.2,,-8.4,16.2,,,
Both01 G2 S,Both,01,Both01,S,G2 ,G,2,15.4,0.2,,-9.5,17,,,
Both01 O9 S,Both,01,Both01,S,O9 ,O,9,12.4,0.2,small peak - error on δ15N will be higher,-8.6,16.3,,,
Both01 O11 S,Both,01,Both01,S,O11,O,11,11.3,0.1,small peak - error on δ15N will be higher,-6.7,15,,,
Both02 O15 S,Both,02,Both02,S,O15,O,15,11.8,0.2,small peak - error on δ15N will be higher,-8.3,16.5,,,
Both02 W13 S,Both,02,Both02,S,W13,W,13,12.4,0.2,,-9.8,17.4,,,
Both02 W20 S,Both,02,Both02,S,W20,W,20,11.9,0.2,,-12.2,19.6,,,
Both02 G19 S,Both,02,Both02,S,G19,G,19,9.7,0.1,small peak - error on δ15N will be higher,-7.8,15.7,,,
Both02 B17 S,Both,02,Both02,S,B17,B,17,11.7,0.1,small peak - error on δ15N will be higher,-6.6,14.9,,,
Both02 B15 S,Both,02,Both02,S,B15,B,15,11.3,0.1,small peak - error on δ15N will be higher,-7.8,15.8,,,
Both02 G13 S,Both,02,Both02,S,G13,G,13,12.5,0.1,small peak - error on δ15N will be higher,-8.6,16.4,,,
Both03 W27 S,Both,03,Both03,S,W27,W,27,12.5,0.2,,-10,17.5,,,
Both03 O29 S,Both,03,Both03,S,O29,O,29,11.3,0.1,small peak - error on δ15N will be higher,-7.6,15.8,,,
Both03 B27 S,Both,03,Both03,S,B27,B,27,14.2,0.2,,-9.4,17.2,,,
Both03 O33 S,Both,03,Both03,S,O33,O,33,11.7,0.2,small peak - error on δ15N will be higher,-6.9,15.1,,,
Both03 B31 S,Both,03,Both03,S,B31,B,31,12.9,0.2,,-11.7,18.9,,,
Both03 G31 S,Both,03,Both03,S,G31,G,31,11.8,0.1,small peak - error on δ15N will be higher,-10.6,18.2,,,
Both03 G33 S,Both,03,Both03,S,G33,G,33,12.2,0.2,,-8.4,15.9,,,
Both03 W35 S,Both,03,Both03,S,W35,W,35,12.4,0.2,,-7.6,15.8,,,
Both04 B37 S,Both,04,Both04,S,B37,B,37,12,0.2,small peak - error on δ15N will be higher,-9.6,17.2,,,
Both04 G41 S,Both,04,Both04,S,G41,G,41,11.9,0.2,,-8.3,16.2,,,
Both04 W39 S,Both,04,Both04,S,W39,W,39,11.6,0.2,small peak - error on δ15N will be higher,-7.2,15.4,,,
Both04 W41 S,Both,04,Both04,S,W41,W,41,13.2,0.4,,-7,15.5,,,
Both04 O43 S,Both,04,Both04,S,O43,O,43,12.9,0.2,small peak - error on δ15N will be higher,-9.4,17.3,,,
Both04 O39 S,Both,04,Both04,S,O39,O,39,9.7,0.1,small peak - error on δ15N will be higher,-9.9,18,,,
Warm04 G37 S,Warm,04,Warm04,S,G37,G,37,14.8,0.1,small peak - error on δ15N will be higher,-11.1,19.5,,,
Warm04 B43 S,Warm,04,Warm04,S,B43,B,43,13,0.2,,-9.9,18.5,,,
Warm04 W39 S,Warm,04,Warm04,S,W39,W,39,10.2,0.2,,-10.4,19,,,
Warm04 O47 S,Warm,04,Warm04,S,O47,O,47,12.6,0.2,,-10.2,18.5,,,
Warm04 W37 S,Warm,04,Warm04,S,W37,W,37,13.2,0.1,small peak - error on δ15N will be higher,-9.3,17.7,,,
Warm05 O57 S,Warm,05,Warm05,S,O57,O,57,12,0.2,,-7.9,16.8,,,
Warm05 B60 S,Warm,05,Warm05,S,B60,B,60,13.1,0.2,,-8.6,17.2,,,
Warm05 O53 S,Warm,05,Warm05,S,O53,O,53,12.6,0.2,,-8.3,17.3,,,
Warm05 W49 S,Warm,05,Warm05,S,W49,W,49,11.8,0.2,small peak - error on δ15N will be higher,-9.4,18.5,,,
Warm05 W59 S,Warm,05,Warm05,S,W59,W,59,12.4,0.1,small peak - error on δ15N will be higher,-7.2,16.3,,,
Warm05 B58 S,Warm,05,Warm05,S,B58,B,58,12.9,0.2,small peak - error on δ15N will be higher,-7.8,16.8,,,
Warm05 G59 S,Warm,05,Warm05,S,G59,G,59,12.7,0.2,small peak - error on δ15N will be higher,-8.6,17.4,,,
Warm05 G57 S,Warm,05,Warm05,S,G57,G,57,12.5,0.1,small peak - error on δ15N will be higher,-6.3,15.8,,,
Warm06 O61 S,Warm,06,Warm06,S,O61,O,61,16.4,0.2,,-9.2,17.6,,,
Warm06 O64 S,Warm,06,Warm06,S,O64,O,64,13.3,0.1,small peak - error on δ15N will be higher,-7.2,16.1,,,
Warm06 B70 S,Warm,06,Warm06,S,B70,B,70,12.4,0.2,small peak - error on δ15N will be higher,-9.9,18.9,,,
Warm06 B62 S,Warm,06,Warm06,S,B62,B,62,13.1,0.2,,-7.7,16.5,,,
Warm06 G65 S,Warm,06,Warm06,S,G65,G,65,12.5,0.2,,-7.3,16.2,,,
Warm06 G67 S,Warm,06,Warm06,S,G67,G,67,11.5,0.2,,-9,17.6,,,
Warm06 W65 S,Warm,06,Warm06,S,W65,W,65,12.9,0.1,small peak - error on δ15N will be higher,-8.9,18.1,,,
Warm06 W69 S,Warm,06,Warm06,S,W69,W,69,12.1,0.1,small peak - error on δ15N will be higher,-8.8,17.6,,,
Hyp01 G1 S,Hyp,01,Hyp01,S,G1,G,1,12.6,0.1,small peak - error on δ15N will be higher,-8,16.5,,,
Hyp01 W8 S,Hyp,01,Hyp01,S,W8,W,8,13.5,0.1,small peak - error on δ15N will be higher,-10.9,19.9,,,
Hyp01 O5 S,Hyp,01,Hyp01,S,O5,O,5,12.6,0.2,,-7.6,16.6,,,
Hyp01 W9 S,Hyp,01,Hyp01,S,W9,W,9,12.8,0.1,small peak - error on δ15N will be higher,-10.8,19.9,,,
Hyp01 B5 S,Hyp,01,Hyp01,S,B5,B,5,10,0.2,,-8,17,,,
Both04 G43 S,Both,04,Both04,S,G43,G,43,16.4,0.2,,-7,15.7,,,
Both04 B44 S,Both,04,Both04,S,B44,B,44,13.5,0.1,small peak - error on δ15N will be higher,-9.5,17.8,,,
Both05 B57 S,Both,05,Both05,S,B57,B,57,13.2,0.1,small peak - error on δ15N will be higher,-9.2,17.7,,,
Both05 G59 S,Both,05,Both05,S,G59,G,59,12.7,0.2,small peak - error on δ15N will be higher,-8.4,16.8,,,
Both05 O53 S,Both,05,Both05,S,O53,O,53,9.1,0.2,,-10.8,18.8,,,
Both05 O55 S,Both,05,Both05,S,O55,O,55,8.5,0.2,,-10.2,18.1,,,
Both05 W53 S,Both,05,Both05,S,W53,W,53,11.8,0.1,small peak - error on δ15N will be higher,-6.6,15.6,,,
Both05 G51 S,Both,05,Both05,S,G51,G,51,13.2,0.2,,-8.4,16.7,,,
Both05 W57 S,Both,05,Both05,S,W57,W,57,12.5,0.2,,-7.7,15.8,,,
Both06 B65 S,Both,06,Both06,S,B65,B,65,11.6,0.2,,-7,15.7,,,
Both06 G69 S,Both,06,Both06,S,G69,G,69,12.1,0.1,small peak - error on δ15N will be higher,-9.5,17.9,,,
Both06 W63 S,Both,06,Both06,S,W63,W,63,11.6,0.2,small peak - error on δ15N will be higher,-9.8,17.9,,,
Both06 B69 S,Both,06,Both06,S,B69,B,69,11.3,0.2,small peak - error on δ15N will be higher,-9.1,17.6,,,
Both06 O72 S,Both,06,Both06,S,O72,O,72,15,0.2,small peak - error on δ15N will be higher,-6.2,15,,,
Both06 G66 S,Both,06,Both06,S,G66,G,66,9,0.2,,-9.8,18,,,
Both06 O63 S,Both,06,Both06,S,O63,O,63,13,0.1,small peak - error on δ15N will be higher,-10.5,18.6,,,
Both06 W67 S,Both,06,Both06,S,W67,W,67,12.1,0.1,small peak - error on δ15N will be higher,-9.6,17.8,,,
