Phase_1_treat,mean_growth,se_growth
Both,16.716666666666665,0.4639803635691686
Cont,16.2,0.25761140573281377
Hyp,16.241666666666667,0.22944542274842203
Warm,16.233333333333334,0.24903855528853752
