og_order,Sample_Name,Phase_1_treat,Phase_1_rep_R,Phase_1_DO,Phase_1_temp,Linear corr d15N,wt_percent_N,Linear corr d13C,wt_percent_C,N_exclude,C_exclude
36,2024_Warm02_Null_G13_S,Warm,Warm02,Normoxic,Warm,8.8,0.3,-7.7,16.8,,
47,2024_Warm02_Null_G14_S_A,Warm,Warm02,Normoxic,Warm,9.9,0.3,-6.6,15.7,Y,Y
53,2024_Warm02_Null_G14_S_B,Warm,Warm02,Normoxic,Warm,9.9,0.3,-6.7,15.7,Y,Y
54,2024_Warm02_Null_G14_S_C,Warm,Warm02,Normoxic,Warm,9.6,0.3,-6.5,15.7,Y,Y
23,2024_Warm03_Null_G18_S,Warm,Warm03,Normoxic,Warm,10.2,0.3,-7.2,16.2,,
46,2024_Warm03_Null_G22_S,Warm,Warm03,Normoxic,Warm,10.2,0.3,-7,16,,
38,2024_Warm04_Null_G26_S,Warm,Warm04,Normoxic,Warm,10.9,0.4,-6.5,15.7,,
48,2024_Warm04_Null_G30_S,Warm,Warm04,Normoxic,Warm,10.5,0.2,-8.3,17.2,,
28,2024_Warm05_Null_G37_S,Warm,Warm05,Normoxic,Warm,10.2,0.2,-9.5,18.4,,
15,2024_Warm05_Null_G38_S,Warm,Warm05,Normoxic,Warm,10.8,0.3,-6.5,15.5,,
25,2024_Warm06_Null_G43_S,Warm,Warm06,Normoxic,Warm,12.4,0.3,-5.9,15.4,,
26,2024_Warm06_Null_G46_S,Warm,Warm06,Normoxic,Warm,11.1,0.3,-6.4,15.8,,
,2024_Both02_Null_O14_S_avg,Both,Both02,Hypoxic,Warm,11.6,0.3,-7.3,16.2,,
,2024_Hyp01_Null_B3_S_avg,Hyp,Hyp01,Hypoxic,Ambient,10.1,0.2,-8.2,16.9,,
,2024_Warm02_Null_G14_S_avg,Warm,Warm02,Normoxic,Warm,9.8,0.3,-6.6,15.7,,
