Year,Phase_1_treat,Phase_1_treat_old,Phase_1_rep,Phase_2_treat,Phase_2_treat_old,Phase_2_rep,Tag_color,Tag_num,Tissue_type,Sample_Name_old,Sample_Name,Vial_num,Notes,og_order,filt_out
2024,Cont,Control,4,Hyp,Hypoxic,1,W,7,T,Control4_Hypoxic1_W7_T,2024_Cont04_Hyp01_W7_T,310,,40,
2024,Hyp,Hypoxic,5,Hyp,Hypoxic,1,B,9,S,Hypoxic5_Hypoxic1_B9_S,2024_Hyp05_Hyp01_B9_S,301,6/6/25 SC started with this one today,41,
2024,Hyp,Hypoxic,5,Hyp,Hypoxic,1,B,9,T,Hypoxic5_Hypoxic1_B9_T,2024_Hyp05_Hyp01_B9_T,309,6/9/25 SC started with this one today,42,
2024,Hyp,Hypoxic,6,Hyp,Hypoxic,1,B,12,S,Hypoxic6_Hypoxic1_B12_S,2024_Hyp06_Hyp01_B12_S,303,,43,
2024,Hyp,Hypoxic,6,Hyp,Hypoxic,1,B,12,T,Hypoxic6_Hypoxic1_B12_T,2024_Hyp06_Hyp01_B12_T,312,,44,
2024,Warm,Warm,2,Hyp,Hypoxic,1,G,4,S,Warm2_Hypoxic1_G4_S,2024_Warm02_Hyp01_G4_S,304,,45,
2024,Warm,Warm,2,Hyp,Hypoxic,1,G,4,T,Warm2_Hypoxic1_G4_T,2024_Warm02_Hyp01_G4_T,315,,46,
2024,Warm,Warm,6,Hyp,Hypoxic,1,G,11,S,Warm6_Hypoxic1_G11_S,2024_Warm06_Hyp01_G11_S,307,,47,
2024,Warm,Warm,6,Hyp,Hypoxic,1,G,11,T,Warm6_Hypoxic1_G11_T,2024_Warm06_Hyp01_G11_T,313,,48,
2024,Both,Both,1,Warm,Warm,1,O,2,S,Both1_Warm1_O2_S,2024_Both01_Warm01_O2_S,114,,49,
2024,Both,Both,1,Warm,Warm,1,O,2,T,Both1_Warm1_O2_T,2024_Both01_Warm01_O2_T,120,2/28/25 This is one of the samples that the vial number doesn't match up to the weigh boat/ there were four weigh boats and 3 vials DISCOUNT,50,Y
2024,Both,Both,4,Warm,Warm,1,O,8,S,Both4_Warm1_O8_S,2024_Both04_Warm01_O8_S,117,,51,
2024,Both,Both,4,Warm,Warm,1,O,8,T,Both4_Warm1_O8_T,2024_Both04_Warm01_O8_T,123,"2/28/25 SKM This is the correct vial number, but 120-122 should be four samples rather than three based on the weigh boats. Discounting those and not this one.",52,
2024,Cont,Control,1,Warm,Warm,1,W,1,S,Control1_Warm1_W1_S,2024_Cont01_Warm01_W1_S,118,,53,
2024,Cont,Control,1,Warm,Warm,1,W,1,T,Control1_Warm1_W1_T,2024_Cont01_Warm01_W1_T,124,3/5 SC Started with this one today.,54,
2024,Cont,Control,2,Warm,Warm,1,W,3,S,Control2_Warm1_W3_S,2024_Cont02_Warm01_W3_S,147,,55,
2024,Cont,Control,2,Warm,Warm,1,W,3,T,Control2_Warm1_W3_T,2024_Cont02_Warm01_W3_T,144,,56,
2024,Hyp,Hypoxic,3,Warm,Warm,1,B,6,S,Hypoxic3_Warm1_B6_S,2024_Hyp03_Warm01_B6_S,148,,57,
2024,Hyp,Hypoxic,3,Warm,Warm,1,B,6,T,Hypoxic3_Warm1_B6_T,2024_Hyp03_Warm01_B6_T,145,,58,
2024,Hyp,Hypoxic,5,Warm,Warm,1,B,10,S,Hypoxic5_Warm1_B10_S,2024_Hyp05_Warm01_B10_S,115,,59,
2024,Hyp,Hypoxic,5,Warm,Warm,1,B,10,T,Hypoxic5_Warm1_B10_T,2024_Hyp05_Warm01_B10_T,122,2/28/25 This is one of the samples that the vial number doesn't match up to the weigh boat/ there were four weigh boats and 3 vials DISCOUNT,60,Y
2024,Warm,Warm,4,Warm,Warm,1,G,7,S,Warm4_Warm1_G7_S,2024_Warm04_Warm01_G7_S,116,,61,
2024,Warm,Warm,4,Warm,Warm,1,G,7,T,Warm4_Warm1_G7_T,2024_Warm04_Warm01_G7_T,NA,"2/28/25 SKM this one was labelled 119 but thought that was an error based on the order and the appearance of the contents of the vial, DISCOUNT",62,Y
2024,Warm,Warm,5,Warm,Warm,1,G,9,S,Warm5_Warm1_G9_S,2024_Warm05_Warm01_G9_S,119,2/28/25 SKM we changed the 119 label to this one from Warm4_Warm1_G7_T because of the contents of the vial looking like shell and the order of the weigh boats,63,
2024,Warm,Warm,5,Warm,Warm,1,G,9,T,Warm5_Warm1_G9_T,2024_Warm05_Warm01_G9_T,121,2/28/25 This is one of the samples that the vial number doesn't match up to the weigh boat/ there were four weigh boats and 3 vials DISCOUNT,64,Y
2024,Both,Both,5,Both,Both,2,O,21,S,Both5_Both2_O21_S,2024_Both05_Both02_O21_S,92,2/12 SC had a dead shell attached to the top. Was once a double but no tissue found when dissecting.,65,
2024,Both,Both,5,Both,Both,2,O,21,T,Both5_Both2_O21_T,2024_Both05_Both02_O21_T,95,2/12 SC had a dead shell attached to the top. Was once a double but no tissue found when dissecting.,66,
2024,Both,Both,6,Both,Both,2,O,24,S,Both6_Both2_O24_S,2024_Both06_Both02_O24_S,100,,67,
2024,Both,Both,6,Both,Both,2,O,24,T,Both6_Both2_O24_T,2024_Both06_Both02_O24_T,104,,68,
2024,Cont,Control,1,Both,Both,2,W,14,S,Control1_Both2_W14_S,2024_Cont01_Both02_W14_S,97,,69,
2024,Cont,Control,1,Both,Both,2,W,14,T,Control1_Both2_W14_T,2024_Cont01_Both02_W14_T,NA,"2/14 SC Basically no tissue, might've been dead before frozen",70,Y
2024,Cont,Control,3,Both,Both,2,W,18,S,Control3_Both2_W18_S,2024_Cont03_Both02_W18_S,86,,71,
2024,Cont,Control,3,Both,Both,2,W,18,T,Control3_Both2_W18_T,2024_Cont03_Both02_W18_T,89,"2/14 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/19 SC rehomogenized and all set now.",72,
2024,Hyp,Hypoxic,4,Both,Both,2,B,20,S,Hypoxic4_Both2_B20_S,2024_Hyp04_Both02_B20_S,96,,73,
2024,Hyp,Hypoxic,4,Both,Both,2,B,20,T,Hypoxic4_Both2_B20_T,2024_Hyp04_Both02_B20_T,105,,74,
2024,Hyp,Hypoxic,6,Both,Both,2,B,24,S,Hypoxic6_Both2_B24_S,2024_Hyp06_Both02_B24_S,88,,75,
2024,Hyp,Hypoxic,6,Both,Both,2,B,24,T,Hypoxic6_Both2_B24_T,2024_Hyp06_Both02_B24_T,91,"2/14 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/19 SC rehomogenized and all set now.",76,
2024,Warm,Warm,3,Both,Both,2,G,18,S,Warm3_Both2_G18_S,2024_Warm03_Both02_G18_S,87,,77,
2024,Warm,Warm,3,Both,Both,2,G,18,T,Warm3_Both2_G18_T,2024_Warm03_Both02_G18_T,90,"2/14 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/19 SC rehomogenized and all set now.",78,
