Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_post,Dry_weight_post,double_single_dead,notes
60,6262024,2024,Cont,02,Null,NA,W,12,2024_Cont02_Null_W12,333.6,969.4,triple,
61,6262024,2024,Cont,02,Null,NA,W,13,2024_Cont02_Null_W13,138.4,354.3,single,
62,6262024,2024,Cont,02,Null,NA,W,14,2024_Cont02_Null_W14,171.2,452.1,triple,
63,6262024,2024,Cont,02,Null,NA,W,15,2024_Cont02_Null_W15,103.2,291.7,single,
64,6262024,2024,Cont,02,Null,NA,W,16,2024_Cont02_Null_W16,207.9,573.2,double,
65,6262024,2024,Cont,03,Null,NA,W,22,2024_Cont03_Null_W22,26.3,59.4,dead,
66,6262024,2024,Cont,03,Null,NA,W,21,2024_Cont03_Null_W21,114.9,286.5,single,
67,6262024,2024,Cont,03,Null,NA,W,23,2024_Cont03_Null_W23,21.9,73.5,single,
68,6262024,2024,Cont,03,Null,NA,W,20,2024_Cont03_Null_W20,203.5,668,double,
69,6262024,2024,Cont,03,Null,NA,W,17,2024_Cont03_Null_W17,98.8,231.8,double,
70,6262024,2024,Cont,03,Null,NA,W,24,2024_Cont03_Null_W24,173.4,467.7,double,
71,6262024,2024,Cont,03,Null,NA,W,19,2024_Cont03_Null_W19,81.4,223.8,double,
72,6262024,2024,Cont,03,Null,NA,W,18,2024_Cont03_Null_W18,26.9,76.8,double,
73,6262024,2024,Cont,04,Null,NA,W,25,2024_Cont04_Null_W25,7,15,dead,
74,6262024,2024,Cont,04,Null,NA,W,26,2024_Cont04_Null_W26,129.7,326.1,double,
75,6262024,2024,Cont,04,Null,NA,W,27,2024_Cont04_Null_W27,208.5,562.8,triple,
76,6262024,2024,Cont,04,Null,NA,W,28,2024_Cont04_Null_W28,91.6,236.8,double,
77,6262024,2024,Cont,04,Null,NA,W,29,2024_Cont04_Null_W29,95.4,227.7,single,
78,6262024,2024,Cont,04,Null,NA,W,30,2024_Cont04_Null_W30,136.2,357.1,double,
79,6262024,2024,Cont,04,Null,NA,W,31,2024_Cont04_Null_W31,121,322.9,double,
80,6262024,2024,Cont,04,Null,NA,W,32,2024_Cont04_Null_W32,275.7,714.9,double,
81,6262024,2024,Cont,05,Null,NA,W,33,2024_Cont05_Null_W33,4.2,11.1,dead,
82,6262024,2024,Cont,05,Null,NA,W,34,2024_Cont05_Null_W34,448,1128.7,double,
83,6262024,2024,Cont,05,Null,NA,W,35,2024_Cont05_Null_W35,121.6,335.5,single,
84,6262024,2024,Cont,05,Null,NA,W,36,2024_Cont05_Null_W36,78.7,173,single,
85,6262024,2024,Cont,05,Null,NA,W,37,2024_Cont05_Null_W37,200.5,576.3,double,
86,6262024,2024,Cont,05,Null,NA,W,38,2024_Cont05_Null_W38,80.9,220.8,single,
87,6262024,2024,Cont,05,Null,NA,W,39,2024_Cont05_Null_W39,45.7,107.6,single,
88,6262024,2024,Cont,05,Null,NA,W,40,2024_Cont05_Null_W40,293.5,885.7,double,
89,6262024,2024,Cont,06,Null,NA,W,41,2024_Cont06_Null_W41,254,684.2,double,
90,6262024,2024,Cont,06,Null,NA,W,42,2024_Cont06_Null_W42,66.1,159.5,single,
91,6262024,2024,Cont,06,Null,NA,W,43,2024_Cont06_Null_W43,247.6,814.4,triple,
92,6262024,2024,Cont,06,Null,NA,W,44,2024_Cont06_Null_W44,61.4,169.2,single,
93,6262024,2024,Cont,06,Null,NA,W,45,2024_Cont06_Null_W45,6,12.8,dead,
94,6262024,2024,Cont,06,Null,NA,W,46,2024_Cont06_Null_W46,10.2,20.6,dead,
95,6262024,2024,Cont,06,Null,NA,W,47,2024_Cont06_Null_W47,114.2,286.3,double,
96,6262024,2024,Cont,06,Null,NA,W,48,2024_Cont06_Null_W48,163.7,514.2,double,
97,6262024,2024,Hyp,01,Null,NA,B,1,2024_Hyp01_Null_B1,175.2,504.7,double,
98,6262024,2024,Hyp,01,Null,NA,B,2,2024_Hyp01_Null_B2,82.5,233,double,
99,6262024,2024,Hyp,01,Null,NA,B,3,2024_Hyp01_Null_B3,117.2,287.3,double,
