Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_pre,Dry_weight_pre,Notes,
560,7/24/24,2024,Both,06,Hyp,04,O,48,2024_Both06_Hyp04_O48,173.9,442.9,,
661,7/24/24,2024,Hyp,06,Cont,04,B,48,2024_Hyp06_Cont04_B48,51.3,136.7,,
662,7/24/24,2024,Both,06,Cont,04,O,48,2024_Both06_Cont04_O48,144.8,343.4,,
663,7/24/24,2024,Cont,06,Cont,04,W,48,2024_Cont06_Cont04_W48,132.8,364.4,,
664,7/24/24,2024,Warm,06,Cont,04,G,48,2024_Warm06_Cont04_G48,145,425.2,,
901,7/24/24,2024,Hyp,06,Warm,04,B,48,2024_Hyp06_Warm04_B48,216.3,529.3,,
904,7/24/24,2024,Hyp,06,Warm,04,B,48,2024_Hyp06_Warm04_B48,216.3,529.3,,
997,7/24/24,2024,Warm,06,Hyp,04,G,48,2024_Warm06_Hyp04_G48,152,404.8,,
998,7/24/24,2024,Hyp,06,Hyp,04,B,48,2024_Hyp06_Hyp04_B48,176,408.8,,
999,7/24/24,2024,Both,06,Hyp,04,O,48,2024_Both06_Hyp04_O48,173.9,442.9,,
