Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_pre,Dry_weight_pre,Notes,
713,7/25/24,2024,Warm,05,Cont,05,G,57,2024_Warm05_Cont05_G57,93.2,217.1,,
714,7/25/24,2024,Hyp,05,Cont,05,B,57,2024_Hyp05_Cont05_B57,144.7,400,,
715,7/25/24,2024,Cont,05,Cont,05,W,57,2024_Cont05_Cont05_W57,440.9,1030.9,,
716,7/25/24,2024,Both,05,Cont,05,O,57,2024_Both05_Cont05_O57,414.4,1063.4,,
1058,7/25/24,2024,Warm,05,Hyp,05,G,57,2024_Warm05_Hyp05_G57,111.9,295.8,,
1059,7/25/24,2024,Both,05,Hyp,05,O,57,2024_Both05_Hyp05_O57,145.2,436.3,,
1060,7/25/24,2024,Cont,05,Hyp,05,W,57,2024_Cont05_Hyp05_W57,207.6,466,,
1061,7/25/24,2024,Hyp,05,Hyp,05,B,57,2024_Hyp05_Hyp05_B57,357.5,816.4,,
1367,7/25/24,2024,Warm,05,Warm,05,G,57,2024_Warm05_Warm05_G57,190.3,463.4,,
1368,7/25/24,2024,Hyp,05,Warm,05,B,57,2024_Hyp05_Warm05_B57,291,751.4,,
1369,7/25/24,2024,Both,05,Warm,05,O,57,2024_Both05_Warm05_O57,390.3,1025.6,,
1370,7/25/24,2024,Cont,05,Warm,05,W,57,2024_Cont05_Warm05_W57,382,1048.1,,
121,7/25/24,2024,Hyp,04,Hyp,05,B,56,2024_Hyp04_Hyp05_B56,93.4,254.2,,
159,7/25/24,2024,Warm,04,Both,05,G,56,2024_Warm04_Both05_G56,113.5,309.3,,
287,7/25/24,2024,Warm,04,Both,05,G,56,2024_Warm04_Both05_G56,113.5,309.3,,
288,7/25/24,2024,Both,04,Both,05,O,56,2024_Both04_Both05_O56,246,605.8,,
289,7/25/24,2024,Hyp,04,Both,05,B,56,2024_Hyp04_Both05_B56,301.6,648.5,,
290,7/25/24,2024,Cont,04,Both,05,W,56,2024_Cont04_Both05_W56,295.3,713.4,,
326,7/25/24,2024,Both,04,Cont,05,O,56,2024_Both04_Cont05_O56,156.5,382.8,,
