Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_pre,Dry_weight_pre,Notes
66,5312024,2024,Warm,03,null,null,G,17,2024_Warm03_Null_G17,28.6,92.8,
67,5312024,2024,Warm,03,null,null,G,18,2024_Warm03_Null_G18,44.8,128.7,deep muck
68,5312024,2024,Warm,03,null,null,G,19,2024_Warm03_Null_G19,41.4,116.3,
69,5312024,2024,Warm,03,null,null,G,20,2024_Warm03_Null_G20,57,155.9,
70,5312024,2024,Warm,03,null,null,G,21,2024_Warm03_Null_G21,23.1,66,
71,5312024,2024,Warm,03,null,null,G,22,2024_Warm03_Null_G22,42.9,127.4,
72,5312024,2024,Warm,03,null,null,G,23,2024_Warm03_Null_G23,75.1,215.6,
73,5312024,2024,Warm,03,null,null,G,24,2024_Warm03_Null_G24,49.4,156.6,
74,5312024,2024,Warm,04,null,null,G,25,2024_Warm04_Null_G25,35.1,95.1,
75,5312024,2024,Warm,04,null,null,G,26,2024_Warm04_Null_G26,26.5,85.4,
76,5312024,2024,Warm,04,null,null,G,27,2024_Warm04_Null_G27,38.5,105.2,
77,5312024,2024,Warm,04,null,null,G,28,2024_Warm04_Null_G28,40.7,111,
78,5312024,2024,Warm,04,null,null,G,29,2024_Warm04_Null_G29,26.9,65.7,
79,5312024,2024,Warm,04,null,null,G,30,2024_Warm04_Null_G30,36.2,97.6,
80,5312024,2024,Warm,04,null,null,G,31,2024_Warm04_Null_G31,24.3,62.2,
81,5312024,2024,Warm,04,null,null,G,32,2024_Warm04_Null_G32,31.7,96.1,
82,5312024,2024,Warm,05,null,null,G,33,2024_Warm05_Null_G33,21.6,66.7,
83,5312024,2024,Warm,05,null,null,G,34,2024_Warm05_Null_G34,45.9,138.9,
84,5312024,2024,Warm,05,null,null,G,35,2024_Warm05_Null_G35,27.6,73.9,
85,5312024,2024,Warm,05,null,null,G,36,2024_Warm05_Null_G36,52.1,151.6,
86,5312024,2024,Warm,05,null,null,G,37,2024_Warm05_Null_G37,22.8,63.9,
87,5312024,2024,Warm,05,null,null,G,38,2024_Warm05_Null_G38,50.5,161.6,
88,5312024,2024,Warm,05,null,null,G,39,2024_Warm05_Null_G39,20.5,59.6,
89,5312024,2024,Warm,05,null,null,G,40,2024_Warm05_Null_G40,21.1,80.6,
90,5312024,2024,Warm,06,null,null,G,41,2024_Warm06_Null_G41,27.3,76.9,
91,5312024,2024,Warm,06,null,null,G,42,2024_Warm06_Null_G42,32.4,89.7,
92,5312024,2024,Warm,06,null,null,G,43,2024_Warm06_Null_G43,39.6,119.9,
93,5312024,2024,Warm,06,null,null,G,44,2024_Warm06_Null_G44,48.2,125.4,
94,5312024,2024,Warm,06,null,null,G,45,2024_Warm06_Null_G45,30.7,88.8,
95,5312024,2024,Warm,06,null,null,G,46,2024_Warm06_Null_G46,43.9,123,
96,5312024,2024,Warm,06,null,null,G,47,2024_Warm06_Null_G47,20.2,65.8,
97,5312024,2024,Warm,06,null,null,G,48,2024_Warm06_Null_G48,31.9,89.5,
98,5312024,2024,Both,01,null,null,O,1,2024_Both01_Null_O1,20.9,55.1,
99,5312024,2024,Both,01,null,null,O,2,2024_Both01_Null_O2,27.4,74.3,
100,5312024,2024,Both,01,null,null,O,3,2024_Both01_Null_O3,26.7,73,
101,5312024,2024,Both,01,null,null,O,4,2024_Both01_Null_O4,43.4,133.3,
102,5312024,2024,Both,01,null,null,O,5,2024_Both01_Null_O5,19.6,72.3,
103,5312024,2024,Both,02,null,null,O,9,2024_Both02_Null_O9,16.5,42.4,
104,5312024,2024,Both,01,null,null,O,6,2024_Both01_Null_O6,39.6,116.3,
105,5312024,2024,Both,01,null,null,O,7,2024_Both01_Null_O7,28.9,72.2,
106,5312024,2024,Both,02,null,null,O,10,2024_Both02_Null_O10,45,130.3,
107,5312024,2024,Both,02,null,null,O,11,2024_Both02_Null_O11,27.9,73.8,
108,5312024,2024,Both,02,null,null,O,12,2024_Both02_Null_O12,27.8,81.1,
109,5312024,2024,Both,02,null,null,O,13,2024_Both02_Null_O13,52.9,159.6,
110,5312024,2024,Both,02,null,null,O,14,2024_Both02_Null_O14,33.4,106.3,
111,5312024,2024,Both,02,null,null,O,15,2024_Both02_Null_O15,26.9,92.8,
112,5312024,2024,Both,02,null,null,O,16,2024_Both02_Null_O16,45.9,122.5,
113,5312024,2024,Both,03,null,null,O,17,2024_Both03_Null_O17,95.1,257.2,
114,5312024,2024,Both,03,null,null,O,18,2024_Both03_Null_O18,48.4,154.2,
115,5312024,2024,Both,03,null,null,O,19,2024_Both03_Null_O19,37.4,103.9,
116,5312024,2024,Both,03,null,null,O,20,2024_Both03_Null_O20,37,102,
117,5312024,2024,Both,03,null,null,O,21,2024_Both03_Null_O21,31.1,101.1,
118,5312024,2024,Both,03,null,null,O,22,2024_Both03_Null_O22,39.3,147.9,
119,5312024,2024,Both,03,null,null,O,23,2024_Both03_Null_O23,16.3,42.3,
120,5312024,2024,Both,03,null,null,O,24,2024_Both03_Null_O24,35.3,107.2,
121,5312024,2024,Both,04,null,null,O,25,2024_Both04_Null_O25,28.2,102.8,
122,5312024,2024,Both,04,null,null,O,26,2024_Both04_Null_O26,58.7,153.6,
123,5312024,2024,Both,04,null,null,O,27,2024_Both04_Null_O27,32.9,95.2,
124,5312024,2024,Both,04,null,null,O,28,2024_Both04_Null_O28,35.2,98.2,
125,5312024,2024,Both,04,null,null,O,29,2024_Both04_Null_O29,15.8,49.7,
126,5312024,2024,Both,04,null,null,O,30,2024_Both04_Null_O30,41.1,128.2,
127,5312024,2024,Both,04,null,null,O,31,2024_Both04_Null_O31,28.7,75.7,
128,5312024,2024,Both,04,null,null,O,32,2024_Both04_Null_O32,34,117.7,
129,5312024,2024,Both,05,null,null,O,33,2024_Both05_Null_O33,58.9,162.9,
130,5312024,2024,Both,05,null,null,O,34,2024_Both05_Null_O34,9.1,30.2,
131,5312024,2024,Both,05,null,null,O,35,2024_Both05_Null_O35,33.4,121.1,
132,5312024,2024,Both,05,null,null,O,36,2024_Both05_Null_O36,34.4,92.1,
133,5312024,2024,Both,05,null,null,O,37,2024_Both05_Null_O37,17.3,50.5,
134,5312024,2024,Both,05,null,null,O,38,2024_Both05_Null_O38,49.6,149.1,
135,5312024,2024,Both,05,null,null,O,39,2024_Both05_Null_O39,38.7,110.2,
136,5312024,2024,Both,05,null,null,O,40,2024_Both05_Null_O40,18.1,66.2,"replaced dead one, won't be in order in photo"
137,5312024,2024,Both,06,null,null,O,41,2024_Both06_Null_O41,47.3,131.3,
